e_deg,edot_deg,mu
-18.9873417721519,14.430379746835442,0.0025878498528252416
-18.9873417721519,14.936708860759495,0.0025878468531557427
-18.9873417721519,15.443037974683548,0.0025878438399676057
-18.9873417721519,15.949367088607595,0.0025878408134515293
-18.9873417721519,16.455696202531648,0.002587837773798579
-18.9873417721519,16.9620253164557,0.002587834721200169
-18.9873417721519,17.468354430379748,0.0025878316558480396
-18.9873417721519,17.9746835443038,0.002587828577934239
-18.9873417721519,18.481012658227854,0.0025878254876511063
-18.9873417721519,18.9873417721519,0.0025878223851912453
-18.9873417721519,19.493670886075954,0.0025878192707475102
-18.9873417721519,20.0,0.0025878161445129838
-18.481012658227847,-20.0,0.002588012310340098
-18.481012658227847,-19.49367088607595,0.002588010638085919
-18.481012658227847,-18.9873417721519,0.002588008941275617
-18.481012658227847,-18.481012658227847,0.0025880072200299463
-18.481012658227847,-17.974683544303797,0.002588005474471272
-18.481012658227847,-17.468354430379748,0.0025880037047235514
-18.481012658227847,-16.962025316455694,0.002588001910912323
-18.481012658227847,-16.455696202531644,0.0025880000931646895
-18.481012658227847,-15.949367088607595,0.002587998251609304
-18.481012658227847,-15.443037974683545,0.0025879963863763527
-18.481012658227847,-14.936708860759493,0.002587994497597543
-18.481012658227847,-14.430379746835442,0.002587992585406085
-18.481012658227847,-13.924050632911392,0.0025879906499366775
-18.481012658227847,-13.417721518987342,0.0025879886913254928
-18.481012658227847,-12.91139240506329,0.0025879867097101565
-18.481012658227847,-12.40506329113924,0.002587984705229738
-18.481012658227847,-11.89873417721519,0.0025879826780247296
-18.481012658227847,-11.39240506329114,0.0025879806282370307
-18.481012658227847,-10.886075949367088,0.002587978556009933
-18.481012658227847,-10.379746835443036,0.002587976461488103
-18.481012658227847,-9.873417721518987,0.0025879743448175624
-18.481012658227847,-9.367088607594937,0.0025879722061456787
-18.481012658227847,-8.860759493670885,0.0025879700456211373
-18.481012658227847,-8.354430379746834,0.0025879678633939354
-18.481012658227847,-7.848101265822784,0.002587965659615356
-18.481012658227847,-7.341772151898734,0.0025879634344379556
-18.481012658227847,-6.835443037974683,0.0025879611880155447
-18.481012658227847,-6.329113924050631,0.002587958920503169
-18.481012658227847,-5.822784810126581,0.002587956632057096
-18.481012658227847,-5.3164556962025316,0.0025879543228347914
-18.481012658227847,-4.81012658227848,0.002587951992994905
-18.481012658227847,-4.3037974683544284,0.0025879496426972504
-18.481012658227847,-3.7974683544303787,0.0025879472721027884
-18.481012658227847,-3.291139240506329,0.002587944881373609
-18.481012658227847,-2.784810126582279,0.0025879424706729106
-18.481012658227847,-2.278481012658226,0.0025879400401649833
-18.481012658227847,-1.772151898734176,0.002587937590015189
-18.481012658227847,-1.2658227848101262,0.0025879351203899454
-18.481012658227847,-0.7594936708860729,0.0025879326314567045
-18.481012658227847,-0.2531645569620231,0.0025879301233839346
-18.481012658227847,0.25316455696202667,0.002587927596341101
-18.481012658227847,0.7594936708860764,0.0025879250504986487
-18.481012658227847,1.2658227848101262,0.00258792248602798
-18.481012658227847,1.7721518987341796,0.0025879199031014393
-18.481012658227847,2.2784810126582293,0.002587917301892291
