Time,e1,e2,e3,edot1,edot2,edot3,Kp1,Ki1,Kd1,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
1.2,0.0029829442501068115,-0.029088087379932404,-0.03549950197339058,-0.10561653226613998,-5.511847055161834e-12,-5.511841850991406e-12,723.3231955559863,0.19457039770171541,0.006388636130596686,13.894198429557996,-4.711672158907749,-4.711672158907749,13.22449016571045,-2.9387755393981934,-2.5714285373687744,0.0,41.666666666666664,-184.0,0.7260114188339737,36.55711353613603,-188.4964672565691,0.0,41.66666780575572,-184.0000022505394,-0.034941889345645905,-0.3842247426509857,-0.47439566254615784,0.7348523736000061,-0.8885598182678223,-0.7277140617370605
1.24,-0.0011341720819473267,-0.0309433713555336,-0.0309433713555336,-1.777989149093628,-6.289971148099038e-12,1.9329741973717063e-10,465.06089280290126,0.047964213189208904,0.006388636130596686,14.394842367458807,-4.814449901717382,-4.814449901717382,13.959183692932129,-2.9387755393981934,-2.9387755393981934,0.0,43.05555555555556,-184.0,0.0,38.698126168037724,-188.46789608273608,0.0,43.05555672817623,-184.00000223615822,-0.5549584031105042,-0.4033932387828827,-0.4124473035335541,0.8186596632003784,-0.8581587672233582,-0.5574741959571838
1.28,0.0076029300689697266,-0.03273582458496094,-0.03273582458496094,2.8570585133835813e-11,-5.978642060588957e-12,-5.978642060588957e-12,744.9126203210493,0.20877525790837048,0.006388636130596686,14.89723312286779,-4.9137508572308715,-4.9137508572308715,13.959183692932129,-2.9387755393981934,-2.9387755393981934,0.0,44.44444444444444,-184.0,0.0,38.698126168037724,-188.46789608273608,0.0,44.444445650232446,-184.00000222140136,0.026859158650040627,-0.273989737033844,-0.2773841321468353,1.5213578939437866,-0.508854866027832,-0.303216814994812
1.32,0.009960055351257324,-0.02805926278233528,-0.03447067737579346,-0.00023332942510023713,0.003661097027361393,-5.85759088803095e-12,744.8872971509167,0.2087463917095961,0.006388636130596687,15.40130739936408,-5.009577868037077,-5.009577868037077,14.326530456542969,-3.3061225414276123,-2.9387755393981934,0.0,45.83333333333333,-184.0,0.7258720107493142,39.93418879627103,-188.2111917681581,0.0,45.83333457191957,-184.00000220627564,0.10545304417610168,-0.3657134473323822,-0.45901092886924744,1.180406093597412,-0.8341092467308044,-0.7729448080062866
1.36,-0.00047597289085388184,-0.02973129227757454,-0.036142706871032715,-3.968266487121582,-6.668033313006472e-12,-6.669035115813848e-12,465.0608928029013,0.05118573653557235,0.006388636130596686,15.907002059787752,-5.101933934782608,-5.101933934782608,15.428570747375488,-3.3061225414276123,-2.9387755393981934,0.0,47.22222222222222,-184.0,0.7284349781565292,42.66321645996449,-188.80626535696456,0.0,47.22222349323305,-184.0000021907881,-1.4928157329559326,-0.4050857424736023,-0.49466943740844727,1.2270276546478271,-0.7897964715957642,-0.7414020299911499
1.4,0.008350163698196411,-0.03134222701191902,-0.0377536416053772,3.313344390520889e-11,-6.321405638526345e-12,-6.321405638526345e-12,744.9126203205541,0.2087705670105017,0.006388636130596684,16.414254171537817,-5.190822209093098,-5.190822209093098,15.428570747375488,-3.3061225414276123,-2.9387755393981934,0.0,48.61111111111111,-184.0,0.7284349781565292,42.66321645996449,-188.80626535696456,0.0,48.61111241416859,-184.00000217494568,0.04396108165383339,-0.2796778082847595,-0.33487468957901,1.5210723876953125,-0.3494585156440735,-0.28941816091537476
1.44,0.017204225063323975,-0.0328938327729702,-0.039305247366428375,2.3158872389239527e-11,-4.058415062346832e-12,-4.058415062346832e-12,744.9126203216363,0.20875521363112232,0.006388636130596687,16.923001051032262,-5.2762459863421025,-5.2762459863421025,15.428570747375488,-3.3061225414276123,-2.9387755393981934,0.0,50.0,-184.0,0.7284349781565292,42.66321645996449,-188.80626535696456,0.0,50.00000133472221,-184.0000021587553,0.1906277984380722,-0.43497297167778015,-0.5257154703140259,1.5445938110351562,-1.0860998630523682,-1.0059003829956055
1.48,0.01967129111289978,-0.034384336322546005,-0.034384336322546005,-0.004306345246732235,-1.410218146702391e-07,-1.4100278633577545e-07,744.4354525382302,0.20843132595836128,0.006388636130596686,16.923001051032262,-5.2762459863421025,-5.2762459863421025,15.795919418334961,-3.3061225414276123,-3.3061225414276123,-0.0,50.0,-184.0,0.0,43.900266312548844,-188.5277509426445,0.0,50.00000133472221,-184.0000021587553,0.22111278772354126,-0.4516652524471283,-0.46304237842559814,1.3930060863494873,-1.2912001609802246,-0.9486870169639587
1.52,0.00043705105781555176,-0.034384336322546005,-0.034384336322546005,-0.030283920466899872,-4.5335481702649855e-20,-4.532938770798081e-20,740.9432369176724,0.2062950670871324,0.006388636130596684,16.94641070099624,-2.0717196219911873,-7.210784685467542,16.897960662841797,-3.3061225414276123,-3.3061225414276123,-10.064926004433003,48.97649706262472,-185.33870967741936,0.0,46.65535577438649,-189.07061675256452,-10.064926295432254,48.97649836439596,-185.33871183506614,-0.02205197513103485,-0.4575575590133667,-0.46893081068992615,0.5119068026542664,-1.020793080329895,-0.707956850528717
1.56,0.007256865501403809,0.015133321285247803,-0.05532664805650711,0.10776973515748978,-1.0490133206531027e-07,0.5431961417198181,722.6232940878448,0.19404881527031848,0.006388636130596685,16.415310670689067,1.3076015945280586,-8.701293869212176,16.530611038208008,-2.9387755393981934,-4.040816307067871,-19.71779275566593,45.94789058101153,-186.67741935483872,-2.1839779302357485,46.0491288124589,-188.40526663454378,-19.7177933185832,45.94789180030093,-186.67742150654593,0.09779947996139526,0.1390800178050995,-0.5749147534370422,1.4699794054031372,1.3468064069747925,-0.6894800066947937
