Time,e1,e2,e3,edot1,edot2,edot3,Kp,Ki,Kd,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
2.52,-0.00664028525352478,-0.029102332890033722,-0.04643291234970093,-1.5705082416534424,-2.976710132725213e-13,1.0745084182417486e-05,1050.0,10,0.015,19.106057572804612,-0.29841189458372674,18.388234114382744,16.897960662841797,1.1020407676696777,22.775510787963867,42.432212874737544,26.44820051634812,-218.80645161290323,50.3830842373242,12.798930672324667,-222.68630008292135,42.432213888461135,26.44820114653097,-218.80645372114623,-0.5736130475997925,-0.5599790215492249,-0.8870661854743958,-0.8623429536819458,-2.0581400394439697,-2.080777645111084
2.56,7.084012031555176e-05,-0.02444230206310749,-0.038104504346847534,-0.02251644991338253,2.7142760153191225e-13,0.6659708619117737,1050.0,10,0.015,21.365548269971764,0.48368329322580994,16.41534880919797,19.102041244506836,1.1020407676696777,20.571428298950195,36.239639361456,34.448345953784326,-220.14516129032256,45.099869044201164,21.961908376338965,-223.1144901421096,36.23964022564761,34.44834676335252,-220.14516339676788,-0.034335315227508545,-0.4744713008403778,-0.6188749670982361,-0.43791264295578003,-1.8931998014450073,-0.7485885620117188
2.6,0.001036316156387329,-0.01079208217561245,-0.02765822410583496,-0.1849501132965088,9.363368370582381e-13,2.9011147022247314,1050.0,10,0.015,23.234630276352906,1.7624977512015216,14.292226246919443,21.306123733520508,1.1020407676696777,18.0,28.56341075473962,41.03817206036381,-221.48387096774195,38.889619874597344,31.603454322524875,-222.69658094679,28.563411434256402,41.0381730155076,-221.4838730741722,-0.10572242736816406,-0.2657109498977661,0.7016832232475281,0.22727787494659424,-0.4217868447303772,-0.7757048606872559
2.64,0.001601189374923706,-0.0012956410646438599,-0.02624484896659851,-0.11170875281095505,-9.679448703536764e-05,0.13127894699573517,1050.0,10,0.015,24.672869282030717,3.500981383903185,12.126152144108088,23.142858505249023,1.8367347717285156,15.795919418334961,19.717792755665936,45.94789058101153,-222.82258064516128,32.07056574205427,38.87138707534152,-223.14765933887065,19.717793223230164,45.94789164268712,-222.82258275182383,-0.05760129541158676,-0.08878256380558014,-0.5281237959861755,0.23023489117622375,-0.3367689549922943,-0.41878408193588257
2.68,0.0010586082935333252,-0.0030101649463176727,-0.03199160099029541,-0.02887710928916931,-0.7987772226333618,0.011354280635714531,1050.0,10,0.015,25.657701315925028,5.64237176532368,10.029144431402703,24.612245559692383,3.6734695434570312,13.959183692932129,10.064926004433014,48.97649706262472,-224.16129032258064,23.763982299449303,43.43513984726853,-225.2637132121286,10.064926242058748,48.97649818780421,-224.16129242812394,-0.021031834185123444,-0.27915018796920776,-0.658388614654541,-0.11815750598907471,-1.3581469058990479,-0.8382647633552551
2.72,-0.000987619161605835,-0.004104167222976685,-0.03012441098690033,-0.0025154335889965296,-0.9409338235855103,0.7378392219543457,1050.0,10,0.015,26.181032382006634,8.109987756862653,8.109987756862662,25.71428680419922,5.877551078796387,11.755102157592773,1.2246467991473532e-14,50.0,-225.5,13.635170992082319,46.93138704578592,-226.8658467954847,1.2033874066735997e-14,50.00000114325184,-225.5000021019788,-0.065648652613163,-0.3554670512676239,-0.438387930393219,0.07094211131334305,-1.601999044418335,-0.8429561853408813
2.76,0.008145689964294434,0.0004950910806655884,-0.03797338902950287,6.416561617976491e-13,-0.0511627122759819,0.41777363419532776,1050.0,10,0.015,26.24660909502345,10.809060086860155,6.466856337413449,25.71428680419922,8.081632614135742,10.285714149475098,-10.06492600443299,48.97649706262473,-226.83870967741936,5.140506469672503,46.194462281898105,-228.35578709256265,-10.064926239113188,48.976498177952365,-226.83871177316854,0.07777766138315201,-0.04118755832314491,-0.6319130659103394,1.4314161539077759,-0.8764179944992065,-1.3776410818099976
2.8,0.002879202365875244,0.002723380923271179,-0.041005223989486694,-3.6349612556052513e-13,-0.14733067154884338,1.2877545356750488,1050.0,10,0.015,25.868788275619313,13.631391701024409,5.181935144702023,26.081632614135742,10.653061866760254,8.816326141357422,-19.717792755665915,45.947890581011535,-228.17741935483872,-4.31405086035416,46.05337947375783,-230.20731184176145,-19.717793211894122,45.94789162377691,-228.17742144237747,0.02451029047369957,-0.03663697466254234,-0.49117639660835266,0.5390127301216125,-0.4572904109954834,-1.4564234018325806
2.84,-0.003714650869369507,0.0006905198097229004,-0.050609879195690155,-4.555832707614504e-13,-4.774960041046143,1.9317858459544368e-05,1050.0,10,0.015,25.072824513772424,16.462731340336575,4.318557792877297,26.081632614135742,13.591836929321289,8.081632614135742,-28.5634107547396,41.03817206036383,-229.51612903225805,-13.099749066911112,43.40003136196081,-233.07675816170956,-28.563411410302116,41.03817298911062,-229.5161311108858,-0.11172546446323395,-1.9043147563934326,-0.9912779331207275,0.06923384964466095,0.785064697265625,-2.3980140686035156
2.88,-0.011196047067642212,0.005226105451583862,-0.05285448580980301,6.534105068567442e-06,-0.2568284571170807,2.4677275334283877e-08,1050.0,10,0.015,23.896348734382826,19.19163361210924,3.92046367885541,25.71428680419922,16.163265228271484,7.3469390869140625,-36.239639361455986,34.44834595378434,-230.8548387096774,-21.144122178985537,39.92048413965294,-234.86154273098856,-36.239640186537805,34.44834673184497,-230.8548407800643,-0.24300894141197205,-0.07565668225288391,-1.0307292938232422,0.2581811249256134,0.1337626874446869,-2.667630672454834
